Latitude,Longitude,Bedrooms,Bath,Floor_area (sqm),brgy_area_sqm,city_pop,Price (PHP),Food_Count,Education_Count,Healthcare_Count,Public_Services_Count,Finance_Count,Transportation_Count
14.588377,121.059897,2,2,114.0,816847.128678576,803159,42022000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,2,2,114.0,816847.128678576,803159,42022000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,47.0,816847.128678576,803159,11054400.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,44.0,816847.128678576,803159,10998400.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,64.0,816847.128678576,803159,17363800.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,2,2,109.0,816847.128678576,803159,48572000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,2,2,114.0,816847.128678576,803159,42229000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,3,2,102.0,816847.128678576,803159,24586800.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,3,2,113.0,816847.128678576,803159,27414000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,2,2,109.0,816847.128678576,803159,44056000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,3,2,98.0,816847.128678576,803159,22111600.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,44.0,816847.128678576,803159,10998400.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,2,2,112.0,816847.128678576,803159,45015000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,1,1,70.0,816847.128678576,803159,27329000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,3,2,98.0,816847.128678576,803159,22111600.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,2,2,109.0,816847.128678576,803159,44056000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,49.0,816847.128678576,803159,12835200.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,47.0,816847.128678576,803159,11054400.0,71.0,4.0,5.0,0.0,63.0,8.0
14.582707,121.061458,1,1,75.0,816847.128678576,803159,25678000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,1,1,70.0,816847.128678576,803159,26705000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,4,4,317.0,816847.128678576,803159,128592000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.5808822,121.05885,1,1,67.0,816847.128678576,803159,17003470.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,95.0,816847.128678576,803159,33345000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,3,2,108.0,816847.128678576,803159,23982600.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,2,2,114.0,816847.128678576,803159,42217000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,47.0,816847.128678576,803159,11054400.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,3,2,98.0,816847.128678576,803159,22111600.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,2,2,114.0,816847.128678576,803159,42217000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,3,2,98.0,816847.128678576,803159,22111600.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,47.0,816847.128678576,803159,11054400.0,71.0,4.0,5.0,0.0,63.0,8.0
14.5808822,121.05885,2,1,126.0,816847.128678576,803159,31083715.0,71.0,4.0,5.0,0.0,63.0,8.0
14.5808822,121.05885,2,1,160.0,816847.128678576,803159,41479493.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,93.0,816847.128678576,803159,31218000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,50.0,816847.128678576,803159,12925800.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,51.0,816847.128678576,803159,10908800.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,82.0,816847.128678576,803159,27408000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,111.0,816847.128678576,803159,38824000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,82.0,816847.128678576,803159,25284000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,93.0,816847.128678576,803159,31991000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,82.0,816847.128678576,803159,27608000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,93.0,816847.128678576,803159,31632000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,95.0,816847.128678576,803159,33297000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,52.0,816847.128678576,803159,12962200.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,2,2,114.0,816847.128678576,803159,42045000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,48.0,816847.128678576,803159,11345600.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,47.0,816847.128678576,803159,11783400.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,48.0,816847.128678576,803159,11379200.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,52.0,816847.128678576,803159,13096600.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,2,2,114.0,816847.128678576,803159,42559000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,2,2,73.0,816847.128678576,803159,17530800.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,2,2,114.0,816847.128678576,803159,41821000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,47.0,816847.128678576,803159,11088000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,52.0,816847.128678576,803159,12962200.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,82.0,816847.128678576,803159,27608000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,82.0,816847.128678576,803159,25284000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,108.0,816847.128678576,803159,37366000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,48.0,816847.128678576,803159,11379200.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,2,2,73.0,816847.128678576,803159,17530800.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,2,2,114.0,816847.128678576,803159,41821000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,2,2,114.0,816847.128678576,803159,42559000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,1,1,70.0,816847.128678576,803159,27110000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,113.0,816847.128678576,803159,41710000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,90.0,816847.128678576,803159,31079000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,1,1,69.0,816847.128678576,803159,27961000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,47.0,816847.128678576,803159,11088000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,57.0,816847.128678576,803159,12230400.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,114.0,816847.128678576,803159,41161000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,2,2,114.0,816847.128678576,803159,42305000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,93.0,816847.128678576,803159,31403000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,59.0,816847.128678576,803159,15672600.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,64.0,816847.128678576,803159,17363800.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,48.0,816847.128678576,803159,11323200.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,2,2,109.0,816847.128678576,803159,44555000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,44.0,816847.128678576,803159,11177600.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,2,2,74.0,816847.128678576,803159,17912600.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,108.0,816847.128678576,803159,37825000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,44.0,816847.128678576,803159,11267200.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,52.0,816847.128678576,803159,11188800.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,1,1,74.0,816847.128678576,803159,26593000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,3,2,102.0,816847.128678576,803159,24856700.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,58.0,816847.128678576,803159,12488000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,48.0,816847.128678576,803159,11345600.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,44.0,816847.128678576,803159,11144000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,57.0,816847.128678576,803159,12196800.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,52.0,816847.128678576,803159,13209600.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,52.0,816847.128678576,803159,11188800.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,44.0,816847.128678576,803159,11144000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,49.0,816847.128678576,803159,12835200.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,1,1,69.0,816847.128678576,803159,28366000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,44.0,816847.128678576,803159,11144000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,2,2,74.0,816847.128678576,803159,17912600.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,108.0,816847.128678576,803159,37825000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,59.0,816847.128678576,803159,14474200.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,58.0,816847.128678576,803159,12488000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,57.0,816847.128678576,803159,12196800.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,48.0,816847.128678576,803159,11345600.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,44.0,816847.128678576,803159,11144000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,52.0,816847.128678576,803159,13209600.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,46.0,816847.128678576,803159,10752000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,115.0,816847.128678576,803159,40953000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,47.0,816847.128678576,803159,11020800.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,2,2,114.0,816847.128678576,803159,42048000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,1,1,69.0,816847.128678576,803159,28366000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,49.0,816847.128678576,803159,12835200.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,52.0,816847.128678576,803159,11188800.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,44.0,816847.128678576,803159,11144000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,1,1,70.0,816847.128678576,803159,26951000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,52.0,816847.128678576,803159,11166400.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,52.0,816847.128678576,803159,11300800.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,93.0,816847.128678576,803159,32037000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,1,1,70.0,816847.128678576,803159,26777000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,115.0,816847.128678576,803159,40650000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.582707,121.061458,1,1,93.0,816847.128678576,803159,32795000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,44.0,816847.128678576,803159,10998400.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,57.0,816847.128678576,803159,12196800.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,44.0,816847.128678576,803159,11144000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,93.0,816847.128678576,803159,32037000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,93.0,816847.128678576,803159,31357000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,108.0,816847.128678576,803159,36903000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,52.0,816847.128678576,803159,11334400.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,3,2,102.0,816847.128678576,803159,24586800.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,93.0,816847.128678576,803159,31892000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,1,1,69.0,816847.128678576,803159,28012000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,2,2,74.0,816847.128678576,803159,18013400.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,3,2,102.0,816847.128678576,803159,24586800.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,2,2,109.0,816847.128678576,803159,44002000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,47.0,816847.128678576,803159,11088000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,82.0,816847.128678576,803159,27975000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,114.0,816847.128678576,803159,40859000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,1,1,69.0,816847.128678576,803159,28012000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,1,1,69.0,816847.128678576,803159,28080000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,1,1,70.0,816847.128678576,803159,27106000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,1,1,74.0,816847.128678576,803159,26767000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,77.0,816847.128678576,803159,27516000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,48.0,816847.128678576,803159,12263600.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,58.0,816847.128678576,803159,14103600.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,2,2,74.0,816847.128678576,803159,17743600.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,106.0,816847.128678576,803159,36089000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,2,2,74.0,816847.128678576,803159,17855600.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,43.0,816847.128678576,803159,11619300.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,57.0,816847.128678576,803159,12230400.0,71.0,4.0,5.0,0.0,63.0,8.0
14.582707,121.061458,1,1,93.0,816847.128678576,803159,31632000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.582707,121.061458,1,1,93.0,816847.128678576,803159,31939000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,93.0,816847.128678576,803159,32651000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,115.0,816847.128678576,803159,40422000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,93.0,816847.128678576,803159,31449000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,46.0,816847.128678576,803159,10752000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,44.0,816847.128678576,803159,11110400.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,1,1,74.0,816847.128678576,803159,27006000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,93.0,816847.128678576,803159,31449000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,44.0,816847.128678576,803159,11110400.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,2,2,114.0,816847.128678576,803159,46469000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,1,1,74.0,816847.128678576,803159,27006000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588377,121.059897,1,1,74.0,816847.128678576,803159,26577000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,44.0,816847.128678576,803159,11334400.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,47.0,816847.128678576,803159,11088000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,108.0,816847.128678576,803159,37666000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,93.0,816847.128678576,803159,32342000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,46.0,816847.128678576,803159,10752000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,3,2,102.0,816847.128678576,803159,24586800.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,59.0,816847.128678576,803159,14474200.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,82.0,816847.128678576,803159,27934000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,93.0,816847.128678576,803159,31312000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,52.0,816847.128678576,803159,11166400.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,57.0,816847.128678576,803159,12196800.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,52.0,816847.128678576,803159,12770800.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,59.0,816847.128678576,803159,14587200.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,52.0,816847.128678576,803159,11334400.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,52.0,816847.128678576,803159,13108800.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,52.0,816847.128678576,803159,11166400.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,52.0,816847.128678576,803159,13096600.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,58.0,816847.128678576,803159,12488000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,47.0,816847.128678576,803159,11054400.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,59.0,816847.128678576,803159,14474200.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,82.0,816847.128678576,803159,27934000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,3,2,102.0,816847.128678576,803159,24586800.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,52.0,816847.128678576,803159,11334400.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,52.0,816847.128678576,803159,11166400.0,71.0,4.0,5.0,0.0,63.0,8.0
